"","word","list","list_type"
"857","topper","34","orthographic"
"858","tinsel","34","orthographic"
"859","tassel","34","orthographic"
"860","tasked","34","orthographic"
"861","toffee","34","orthographic"
"862","taster","34","orthographic"
"863","teaser","34","orthographic"
"864","tacked","34","orthographic"
"865","teases","34","orthographic"
"866","tidied","34","orthographic"
"867","tensed","34","orthographic"
"868","termed","34","orthographic"
"869","tugged","34","orthographic"
"870","tented","34","orthographic"
"871","farmer","35","orthographic"
"872","framed","35","orthographic"
"873","frames","35","orthographic"
"874","fatter","35","orthographic"
"875","folder","35","orthographic"
"876","faucet","35","orthographic"
"877","feeder","35","orthographic"
"878","fester","35","orthographic"
"879","fabled","35","orthographic"
"880","fairer","35","orthographic"
"881","fatten","35","orthographic"
"882","filler","35","orthographic"
"883","frayed","35","orthographic"
"884","forger","35","orthographic"
"885","fodder","35","orthographic"
"886","fonder","35","orthographic"
"887","falter","35","orthographic"
"888","fanned","35","orthographic"
"889","flared","35","orthographic"
"890","firmer","35","orthographic"
"891","forked","35","orthographic"
"892","fatted","35","orthographic"
"893","farmed","35","orthographic"
"894","fakers","35","orthographic"
"895","freaks","36","orthographic"
"896","freaky","36","orthographic"
"897","frames","36","orthographic"
"898","francs","36","orthographic"
"899","ferris","36","orthographic"
"900","fronts","36","orthographic"
"901","fiends","36","orthographic"
"902","franks","36","orthographic"
"903","frauds","36","orthographic"
"904","flecks","36","orthographic"
"905","frowns","36","orthographic"
"906","frills","36","orthographic"
"907","fleets","36","orthographic"
"908","fresco","36","orthographic"
"909","feasts","36","orthographic"
"910","fracas","36","orthographic"
"911","misses","37","orthographic"
"912","missus","37","orthographic"
"913","masses","37","orthographic"
"914","messes","37","orthographic"
"915","misled","37","orthographic"
"916","maybes","37","orthographic"
"917","miffed","37","orthographic"
"918","misuse","37","orthographic"
"919","monies","37","orthographic"
"920","milked","37","orthographic"
"921","missis","37","orthographic"
"922","minted","37","orthographic"
"923","minuet","37","orthographic"
"924","mussed","37","orthographic"
"925","mildew","37","orthographic"
"926","milieu","37","orthographic"
"927","mussel","37","orthographic"
"928","jammed","38","orthographic"
"929","judged","38","orthographic"
"930","jacked","38","orthographic"
"931","jumper","38","orthographic"
"932","jailed","38","orthographic"
"933","jerked","38","orthographic"
"934","jazzed","38","orthographic"
"935","jailer","38","orthographic"
"936","jinxed","38","orthographic"
"937","jilted","38","orthographic"
"938","jabber","38","orthographic"
"939","juiced","38","orthographic"
"940","jogger","38","orthographic"
"941","jotted","38","orthographic"
"942","joules","38","orthographic"
"943","junket","38","orthographic"
"944","burden","39","orthographic"
"945","budget","39","orthographic"
"946","burger","39","orthographic"
"947","buster","39","orthographic"
"948","bummer","39","orthographic"
"949","barber","39","orthographic"
"950","buzzer","39","orthographic"
"951","bumper","39","orthographic"
"952","bunker","39","orthographic"
"953","bugged","39","orthographic"
"954","barren","39","orthographic"
"955","burner","39","orthographic"
