"","X","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"500",500,"VAIN"," STIM"," LOW","1",0.7429,-0.2371,-0.0881,-0.149,0.2502,1
"501",501,"STRIDE"," STIM"," LOW","1",2.2874,2.5903,2.5607,0.0296,0.3169,1
"502",502,"JEEP"," STIM"," HIGH","1",1.2206,-2.0515,-2.1516,0.1,0.3002,1
"506",506,"JOBBER"," STIM"," LOW","6",0.5845,2.6726,2.1899,0.4827,0.4337,1
"509",509,"PLIERS"," STIM"," HIGH","5",0.6069,-1.1512,-0.4915,-0.6598,0.417,1
"510",510,"ALLOW"," STIM"," LOW","6",1.7522,-1.2169,0.9814,-2.1983,0.2669,1
"515",515,"SPITE"," STIM"," LOW","6",0.8847,2.6659,2.7023,-0.0364,1.2676,1
"517",517,"FEEL"," STIM"," LOW","1",1.7621,-3.0765,0.2606,2.946,0.2835,1
"518",518,"SILVER"," STIM"," HIGH","1",0.5769,-2.299,-2.291,-0.008,0.2835,1
"519",519,"BABY"," STIM"," HIGH","5",1.0493,0.7362,-1.4783,2.2145,0.3169,1
"520",520,"COIN"," STIM"," HIGH","6",0.6226,-1.2171,-0.0605,-1.1565,0.3503,1
"522",522,"SCROLL"," STIM"," HIGH","1",1.0924,0.9856,-0.2425,1.2281,0.6171,1
"524",524,"HEN"," STIM"," HIGH","6",0.5279,0.5332,2.4583,-1.9251,0.3836,1
"525",525,"GREED"," STIM"," LOW","1",0.7724,0.6251,-1.933,2.5581,0.5504,1
"526",526,"NATION"," STIM"," LOW","6",0.902,2.9704,0,2.9704,2.5519,1
"528",528,"GOAT"," STIM"," HIGH","6",1.7977,-0.4972,-2.4334,1.9362,2.4852,1
"529",529,"CORSE"," STIM"," LOW","6",0.6725,-0.7516,3.1225,2.4091,1.3343,1
"532",532,"HOPE"," STIM"," LOW","6",0.7247,2.988,-2.2455,-1.0497,0.0334,1
